Index,Title,Recommendation,Company Engagement,Has Device,Number of Companies,Is Unique Company
IPG578,Minimally invasive sacroiliac joint fusion surgery for chronic sacroiliac pain , Current evidence on the safety and efficacy of minimally invasive sacroiliac SI joint fusion surgery for chronic SI pain is adequate to support the use of this procedure provided that standard arrangements are in place for clinical governance consent and audit Find out what standard arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 2 companies who manufacture a potentially relevant device for use in this procedure. NICE received 2 completed submissions. These were considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 2 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG581,Infracoccygeal sacropexy using mesh to repair vaginal vault prolapse , Current evidence on the safety of infracoccygeal sacropexy using mesh to repair vaginal vault prolapse shows there are serious but well-recognised complications The evidence on efficacy is inadequate in quality Therefore this procedure should not be used unless there are special arrangements in place for clinical governance consent and audit or research ,No structured information requests were sent to companies who manufacture a potentially relevant device for use in this procedure.  ,1,No structured information requests were sent to companies who manufacture a potentially relevant device for use in this procedure.,0
IPG582,Infracoccygeal sacropexy using mesh to repair uterine prolapse , Current evidence on the safety of infracoccygeal sacropexy using mesh to repair uterine prolapse shows there are serious but well recognised complications The evidence on efficacy is inadequate in quality Therefore this procedure should not be used unless there are special arrangements in place for clinical governance consent and audit or research ,No structured information requests were sent to companies who manufacture a potentially relevant device for use in this procedure.  ,1,No structured information requests were sent to companies who manufacture a potentially relevant device for use in this procedure.,0
IPG583,Sacrocolpopexy using mesh to repair vaginal vault prolapse , Current evidence on the safety of sacrocolpopexy using mesh to repair vaginal vault prolapse shows there are serious but well-recognised safety concerns The evidence on efficacy is adequate in quantity and quality Therefore this procedure can be used provided that standard arrangements are in place for clinical governance consent and audit ,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview.  ,1,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG584,Uterine suspension using mesh (including sacrohysteropexy) to repair uterine prolapse , Current evidence on the safety of uterine suspension using mesh including sacrohysteropexy to repair uterine prolapse shows there are serious and well-recognised complications The evidence on efficacy is adequate in quantity and quality Therefore this procedure can be used provided that standard arrangements are in place for clinical governance consent and audit ,A structured information request was sent to 6 companies who manufacture a potentially relevant device for use in this procedure. NICE received 2 completed submissions. These was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 6 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG586,Transcatheter aortic valve implantation for aortic stenosis , Current evidence on the safety and efficacy of transcatheter aortic valve implantation TAVI for aortic stenosis is adequate to support the use of this procedure provided that standard arrangements are in place for clinical governance consent and audit ,A structured information request was sent to 7 companies who manufacture a potentially relevant device for use in this procedure. NICE received 2 completed submissions. These were considered by the NICE external assessment centre and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 7 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG589,Radiofrequency treatment for haemorrhoids , Current evidence on the safety and efficacy of radiofrequency treatment for haemorrhoids is inadequate in quantity and quality Therefore this procedure should only be used with special arrangements for clinical governance consent and audit or research ,A structured information request was sent to 4 companies who manufacture or distribute a potentially relevant device for use in this procedure. NICE received 2 completed submissions. These were considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 4 companies who manufacture or distribute a potentially relevant device for use in this procedure.,0
IPG591,Ab externo canaloplasty for primary open-angle glaucoma , Current evidence on the safety and efficacy of ab externo canaloplasty for primary open-angle glaucoma is adequate to support the use of this procedure provided that standard arrangements are in place for clinical governance consent and audit ,A structured information request was sent to 1 company who manufactures a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 1 company who manufactures a potentially relevant device for use in this procedure.,1
IPG592,High-intensity focused ultrasound for symptomatic breast fibroadenoma , The evidence on high-intensity focused ultrasound for symptomatic breast fibroadenoma raises no major safety concerns Evidence on its efficacy is inadequate in quantity and quality Therefore this procedure should only be used with special arrangements for clinical governance consent and audit or research ,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure.,1
IPG593,Intramuscular diaphragm stimulation for ventilator-dependent chronic respiratory failure caused by motor neurone disease , Current evidence on intramuscular diaphragm stimulation for ventilator-dependent chronic respiratory failure caused by motor neurone disease suggests that there are serious long-term safety concerns Evidence on efficacy is limited and therefore this procedure should not be used to treat this condition  Indications and current treatments  Motor neurone disease is a neurodegenerative condition affecting the brain and spinal cord The most common type of the disease is amyotrophic lateral sclerosis Motor neurone disease is characterised by the degeneration of primarily motor neurones leading to muscle weakness limb weakness problems with speech swallowing and breathing which ultimately leads to respiratory failure and death  Current standard care for managing chronic respiratory failure in patients with motor neurone disease includes non-invasive forms of ventilation support such as Bi-level positive airway pressure BiPAP In advanced stages of respiratory failure mechanical ventilation is done through a permanent tracheostomy  The procedure  The aim of intramuscular diaphragm stimulation is to make the diaphragm contract strengthening it and allowing full or partial weaning from mechanical ventilation This procedure needs intact phrenic nerve function and avoids the need to access the phrenic nerve through the neck or thorax as well as reducing the risk of phrenic nerve damage  The procedure is done laparoscopically with the patient under general anaesthesia A special probe is used to identify areas of the diaphragm where minimal electrical stimulation causes maximal diaphragm contraction known as the motor points Two intramuscular electrodes are implanted on the abdominal surface of each hemi-diaphragm at the motor points The electrode leads are tunnelled subcutaneously to an exit site in the chest where they are connected to an external battery-powered pulse generator A reference electrode anode is also implanted and the leads tunnelled with the other electrodes Intraoperative stimulation and voltage calibration tests are carried out to confirm adequate contraction of the diaphragm After implantation the patient has a diaphragm conditioning programme which involves progressive use of the system for increasing periods of time with gradual weaning from the ventilator Intramuscular diaphragm stimulation for ventilator-dependent chronic respiratory failurecaused by motor neurone disease IPG Efficacy This section describes efficacy outcomes from the published literature that the committee considered as part of the evidence about this procedure For more detailed information on the evidence see the interventional procedure overview  In a multicentre randomised controlled trial RCT of  patients with respiratory failure caused by amyotrophic lateral sclerosis ALS non-invasive ventilation NIV plus diaphragm pacing n was compared with NIV alone n Overall survival defined as the time from randomisation to death from any cause was statistically significantly shorter in the NIV plus pacing group than in the NIV-alone group median  months  confidence interval CI  to  compared with  months  CI  to not reached adjusted hazard ratio   CI ,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure. NICE did not receive a submission. ,1,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure.,1
