title,clean title,JNJ Classification (manual)
3c-patch-for-treating-diabetic-foot-ulcers-pdf-64372180069573.pdf,3c patch for treating diabetic foot ulcers,Not Supporting Routine Use
alphastim-aid-for-anxiety-disorders-pdf-64372119603397.pdf,alphastim aid for anxiety disorders,Not Supporting Routine Use
ambu-ascope4-broncho-for-use-in-unexpected-difficult-airways-pdf-64371874379461.pdf,ambu ascope4 broncho for use in unexpected difficult airways,Treatment Option
ambulight-pdt-for-the-treatment-of-nonmelanoma-skin-cancer-pdf-1788115790293.pdf,ambulight pdt for the treatment of nonmelanoma skin cancer,Not Supporting Routine Use
aposhealth-for-knee-osteoarthritis-pdf-64372240535749.pdf,aposhealth for knee osteoarthritis,Not Supporting Routine Use
axonics-sacral-neuromodulation-system-for-treating-refractory-overactive-bladder-pdf-64372109525701.pdf,axonics sacral neuromodulation system for treating refractory overactive bladder,Treatment Option
clearguard-hd-antimicrobial-barrier-caps-for-preventing-haemodialysis-catheterrelated-bloodstream-infections-pdf-64372173351109.pdf,clearguard hd antimicrobial barrier caps for preventing haemodialysis catheterrelated bloodstream infections,Treatment Option
curos-for-preventing-infections-when-using-needleless-connectors-pdf-64372055777989.pdf,curos for preventing infections when using needleless connectors,Not Supporting Routine Use
danis-stent-for-acute-oesophageal-variceal-bleeding-pdf-64372121283013.pdf,danis stent for acute oesophageal variceal bleeding,Treatment Option
dyevert-systems-for-reducing-the-risk-of-acute-kidney-injury-in-coronary-and-peripheral-angiography-pdf-64372169991877.pdf,dyevert systems for reducing the risk of acute kidney injury in coronary and peripheral angiography,Not Supporting Routine Use
endocuff-vision-for-assisting-visualisation-during-colonoscopy-pdf-64372057457605.pdf,endocuff vision for assisting visualisation during colonoscopy,Treatment Option
endosponge-for-treating-low-rectal-anastomotic-leak-pdf-64372175030725.pdf,endosponge for treating low rectal anastomotic leak,Not Supporting Routine Use
enduralife-powered-crtd-devices-for-treating-heart-failure-pdf-64371993632197.pdf,enduralife powered crtd devices for treating heart failure,Treatment Option
episcissors60-for-mediolateral-episiotomy-pdf-64372060816837.pdf,episcissors60 for mediolateral episiotomy,Not Supporting Routine Use
evita-open-plus-for-treating-complex-aneurysms-and-dissections-of-the-thoracic-aorta-pdf-64371877738693.pdf,evita open plus for treating complex aneurysms and dissections of the thoracic aorta,Treatment Option
exogen-ultrasound-bone-healing-system-for-long-bone-fractures-with-nonunion-or-delayed-healing-pdf-64371871020229.pdf,exogen ultrasound bone healing system for long bone fractures with nonunion or delayed healing,Treatment Option
faecal-microbiota-transplant-for-recurrent-clostridioides-difficile-infection-pdf-64372232137669.pdf,faecal microbiota transplant for recurrent clostridioides difficile infection,Treatment Option
gammacore-for-cluster-headache-pdf-64372059137221.pdf,gammacore for cluster headache,Routine Use
